unit_id,array_id,region,mean_SNR,mean_latency,mean_reliability,oracle_correlation
611,9,IT,0.2970298061471811,25.5,0.04024390708875601,0.1419839632406359
612,9,IT,0.06616167522157704,47.75,0.0327467494513925,0.12336203288585362
613,9,IT,0.3726340628077097,27.25,0.05857408042480257,0.19278546211654757
614,9,IT,0.2775620278729186,17.25,0.0384528077169331,0.1449125072701416
615,9,IT,0.17267541287363508,39.25,0.0389741443335935,0.14622789261304073
616,9,IT,0.6189010745429506,89.0,0.058827641913260904,0.19765076250518943
617,9,IT,0.23361631876129674,-3.0,0.0243741535381714,0.10091209066299257
618,9,IT,0.2617453421303646,8.5,0.014441405816553541,0.06919358963516511
619,9,IT,0.1740342127793551,76.75,0.028056743520651,0.12069095922357631
620,9,IT,0.21720242331587175,0.0,0.037071757958053515,0.13480321668034217
621,9,IT,0.20974749307751042,27.0,0.03853654027695,0.14129088691446792
622,9,IT,0.19575359190246813,24.5,0.016719112727956925,0.0757469725306617
623,9,IT,-0.052074887957887867,31.5,0.0404388157318597,0.1482828939036378
624,9,IT,0.32455040390805556,17.25,0.04119318319212312,0.15150532193679356
625,9,IT,0.2293225186497238,32.75,0.042115954720121286,0.14774055801077643
626,9,IT,0.29861556653168264,15.75,0.039075231594434295,0.1424734326592474
627,9,IT,0.31004930461065394,43.5,0.027839539474284566,0.11626892630121377
628,9,IT,0.8057737437520838,59.75,0.01727025386887821,0.07550832406645255
629,9,IT,0.11454185391362391,86.0,0.026718668011355612,0.11169630639220093
630,9,IT,0.3500128889263315,3.25,0.12582208527499233,0.314544397062029
631,9,IT,0.31336802766237426,-4.25,0.1883316868721987,0.4016008793447519
632,9,IT,0.6010448466897403,76.25,0.04937572379553248,0.17010785958598362
633,9,IT,0.3035106929224306,14.75,0.043948364195529756,0.1586639831994817
634,9,IT,0.24022455704187262,17.25,0.07450161575968717,0.22073968869613847
635,9,IT,0.15404481396682948,39.75,0.08574393987602807,0.2453597768159409
636,9,IT,0.3609614469329669,26.0,0.02815769335226279,0.09763153774898993
637,9,IT,0.8908877687718363,135.5,0.04672308424445405,0.1586084849107735
638,9,IT,0.5617048480689038,11.75,0.10931599976437874,0.2887062185248922
639,9,IT,0.625256583031503,41.25,0.0470959098581604,0.1641424414025821
640,10,IT,0.06902556624848304,43.0,-0.0002386190808211072,-0.0015886763024087766
641,10,IT,-0.0012730913017007517,-8.5,-0.0022465544781373912,-0.0006627553945076988
642,10,IT,-0.014002111167099028,-27.75,-0.005903054089408828,-0.024464940650040044
643,10,IT,0.046920856067089844,-11.75,0.011461222269832132,0.05394749632879299
